Asmatutakoak Denbora Puntuak
 4 71.00 33.73
 4 77.00 33.23
 4 83.50 32.74
 4 134.0 29.02
 3 46.00 28.47
 3 54.00 27.90
 3 68.00 26.99
 3 74.00 26.62
 0 300.0 10.00

